program,vendor,version,in_CTD
Poly Lens Control Service,Hewlett Packard,1.11.793,no
Poly Lens Desktop,Hewlett Packard,2.2.0.3547,no
Postman x86_64 11.34.5,Postman,11.34.5,no
PyCharm 2025.1.1,JetBrains,251.25410.122,no
Python 3.12.6 (64-bit),Python Software,3.12.6150.0,no
Python 3.12.6 Add to Path (64-bit),Python Software,3.12.6150.0,no
Python 3.12.6 Core Interpreter (64-bit),Python Software,3.12.6150.0,no
Python 3.12.6 Development Libraries (64-bit),Python Software,3.12.6150.0,no
Python 3.12.6 Documentation (64-bit),Python Software,3.12.6150.0,no
Python 3.12.6 Executables (64-bit),Python Software,3.12.6150.0,no
Python 3.12.6 pip Bootstrap (64-bit),Python Software,3.12.6150.0,no
Python 3.12.6 Standard Library (64-bit),Python Software,3.12.6150.0,no
Python 3.12.6 Tcl/Tk Support (64-bit),Python Software,3.12.6150.0,no
Python 3.12.6 Test Suite (64-bit),Python Software,3.12.6150.0,no
Python 3.13.3 (64-bit),Python Software,3.13.3150.0,no
Python 3.13.3 Add to Path (64-bit),Python Software,3.13.3150.0,no
Python 3.13.3 Core Interpreter (64-bit),Python Software,3.13.3150.0,no
Python 3.13.3 Development Libraries (64-bit),Python Software,3.13.3150.0,no
Python 3.13.3 Documentation (64-bit),Python Software,3.13.3150.0,no
Python 3.13.3 Executables (64-bit),Python Software,3.13.3150.0,no
Python 3.13.3 pip Bootstrap (64-bit),Python Software,3.13.3150.0,no
Python 3.13.3 Standard Library (64-bit),Python Software,3.13.3150.0,no
Python 3.13.3 Tcl/Tk Support (64-bit),Python Software,3.13.3150.0,no
Python 3.13.3 Test Suite (64-bit),Python Software,3.13.3150.0,no
Python Launcher,Python Software,3.13.3150.0,no
SDK ARM Additions,Microsoft,10.1.19041.685,no
SDK ARM Redistributables,Microsoft,10.1.19041.685,no
Smart Card Browser Extension,CardID.org,0.4.2,no
Tracer TU 11.10,Trane,11.10.264,no
UltraVNC,Uvnc Bvba,1.6.4.0,yes
Universal CRT Extension SDK,Microsoft,10.1.19041.685,no
Universal CRT Headers Libraries and Sources,Microsoft,10.1.19041.685,no
Universal CRT Redistributable,Microsoft,10.1.19041.685,no
Universal CRT Redistributable,Microsoft,10.0.26624,no
Universal CRT Tools x64,Microsoft,10.1.19041.685,no
Universal CRT Tools x86,Microsoft,10.1.19041.685,no
Universal General MIDI DLS Extension SDK,Microsoft,10.1.19041.685,no
Update for  (KB2504637),Microsoft,1,no
vcpp_crt.redist.clickonce,Microsoft,14.29.30157,no
Visual Studio Build Tools 2019,Microsoft,16.11.42,no
VLC media player,VideoLAN,3.0.21,no
VMware Workstation,VMware,25.0.1,yes
vs_communitymsi,Microsoft,16.11.34930,no
vs_communitymsires,Microsoft,16.10.31213,no
vs_filehandler_amd64,Microsoft,16.11.31503,no
vs_filehandler_x86,Microsoft,16.11.31503,no
vs_FileTracker_Singleton,Microsoft,16.11.34827,no
vs_minshellinteropmsi,Microsoft,16.10.31306,no
vs_minshellmsi,Microsoft,16.11.34902,no
vs_minshellmsires,Microsoft,16.10.31303,no
VS Script Debugging Common,Microsoft,16.0.102.0,no
Webex,Cisco,44.7.0.30141,yes
WinAppDeploy,Microsoft,10.1.19041.685,no
Windows App Certification Kit Native Components,Microsoft,10.1.19041.685,no
Windows App Certification Kit SupportedApiList x86,Microsoft,10.1.19041.685,no
