Program,Version,Queried_CPE,Confidence,CVE,CVSS_Version,Base_Score,Base_Severity,CISA_KEV
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-3777,3.1,7.8,HIGH,N/A
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-3778,3.1,5.5,MEDIUM,N/A
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-3779,3.1,7.8,HIGH,N/A
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-3780,3.1,7.8,HIGH,N/A
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-5937,3.1,5.5,MEDIUM,N/A
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-5938,3.1,5.5,MEDIUM,N/A
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-5939,3.1,5.5,MEDIUM,N/A
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-5940,3.1,5.5,MEDIUM,N/A
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-5941,3.1,7.1,HIGH,N/A
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-5942,3.1,5.5,MEDIUM,N/A
Foxit PDF Reader,2025.2.0.33046,cpe:2.3:a:foxit:pdf_reader:2025.2.0.33046:*:*:*:*:*:*:*,F,CVE-2026-5943,3.1,7.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9110,3.1,4.2,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9111,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9112,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9113,3.1,4.3,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9114,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9115,3.1,4.3,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9116,3.1,4.3,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9118,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9119,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9120,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9121,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9124,3.1,5.3,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-9126,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10000,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10001,3.1,8.3,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10002,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10003,3.1,7.5,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10004,3.1,6.5,MEDIUM,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10006,3.1,7.5,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10007,3.1,8.8,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10009,3.1,7.5,HIGH,N/A
Google Chrome,148.0.7778.168,cpe:2.3:a:google:chrome:148.0.7778.168:*:*:*:*:*:*:*,O,CVE-2026-10011,3.1,3.1,LOW,N/A
