program,vendor,version,cleaned name,cpe_name
Logi Plugin Service,Logitech,6.3.0.2406,Logi Plugin Service,NOT_FOUND
Logitech Presentation,Logitech,2.10.34,Logitech Presentation,cpe:2.3:o:logitech:r700_laser_presentation_remote_firmware:*:*:*:*:*:*:*:*
Microsoft 365 Apps for enterprise - en-us,Microsoft,16.0.19929.20172,Microsoft 365 Apps enterprise,cpe:2.3:a:microsoft:365_apps:*:*:*:*:*:*:*:*
Microsoft 365 - en-us,Microsoft,16.0.19929.20172,Microsoft 365,cpe:2.3:a:microsoft:365:*:*:*:*:*:*:*:*
Microsoft Edge,Microsoft,148.0.3967.70,Microsoft Edge,cpe:2.3:a:microsoft:edge:*:*:*:*:*:*:*:*
Microsoft Edge WebView2 Runtime,Microsoft,148.0.3967.70,Microsoft Edge WebView2 Runtime,cpe:2.3:a:microsoft:edge_chromium:*:*:*:*:*:*:*:*
Microsoft Intune Management Extension,Microsoft,1.101.109.0,Microsoft Intune Management Extension,cpe:2.3:a:microsoft:intune_management_extension:*:*:*:*:*:*:*:*
Microsoft .NET Framework 4 Multi-Targeting Pack,Microsoft,4.0.30319,Microsoft .NET Framework 4 Multi-Targeting Pack,NOT_FOUND
Microsoft OneDrive,Microsoft,26.074.0420.0001,Microsoft OneDrive,cpe:2.3:a:microsoft:onedrive:*:*:*:*:*:*:*:*
Microsoft OneNote - en-us,Microsoft,16.0.19929.20172,Microsoft OneNote,cpe:2.3:a:microsoft:onenote:*:*:*:*:*:*:*:*
Microsoft Teams Meeting Add-in for Microsoft Office,Microsoft,1.26.08901,Microsoft Teams Meeting Add-in Microsoft Office,cpe:2.3:a:microsoft:teams:*:*:*:*:*:*:*:*
Microsoft Update Health Tools,Microsoft,5.72.0.0,Microsoft Update Health Tools,NOT_FOUND
Microsoft Visio Viewer 2016,Microsoft,16.0.4339.1001,Microsoft Visio Viewer 2016,NOT_FOUND
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17,Microsoft,9.0.30729,Microsoft Visual C++ 2008 Redistributable,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,Microsoft,9.0.30729.6161,Microsoft Visual C++ 2008 Redistributable,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,Microsoft,10.0.40219,Microsoft Visual C++ 2010 Redistributable,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,Microsoft,10.0.40219,Microsoft Visual C++ 2010 Redistributable,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005,Microsoft,12.0.21005.1,Microsoft Visual C++ 2013 Redistributable,NOT_FOUND
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005,Microsoft,12.0.21005,Microsoft Visual C++ 2013 Additional Runtime,NOT_FOUND
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005,Microsoft,12.0.21005,Microsoft Visual C++ 2013 Minimum Runtime,NOT_FOUND
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211,Microsoft,14.44.35211.0,Microsoft Visual C++ 2015-2022 Redistributable,NOT_FOUND
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211,Microsoft,14.44.35211.0,Microsoft Visual C++ 2015-2022 Redistributable,NOT_FOUND
Microsoft Visual C++ 2019 X64 Debug Runtime - 14.29.30157,Microsoft,14.29.30157,Microsoft Visual C++ 2019 Debug Runtime,NOT_FOUND
Microsoft Visual C++ 2019 X86 Debug Runtime - 14.29.30157,Microsoft,14.29.30157,Microsoft Visual C++ 2019 Debug Runtime,NOT_FOUND
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211,Microsoft,14.44.35211,Microsoft Visual C++ 2022 Additional Runtime,NOT_FOUND
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211,Microsoft,14.44.35211,Microsoft Visual C++ 2022 Minimum Runtime,NOT_FOUND
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211,Microsoft,14.44.35211,Microsoft Visual C++ 2022 Additional Runtime,NOT_FOUND
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211,Microsoft,14.44.35211,Microsoft Visual C++ 2022 Minimum Runtime,NOT_FOUND
Microsoft Visual Studio Code (User),Microsoft,1.119.1,Microsoft Visual Studio Code,cpe:2.3:a:microsoft:visual_studio_code:*:*:*:*:*:*:*:*
Microsoft Visual Studio Installer,Microsoft,3.12.2149.20818,Microsoft Visual Studio Installer,NOT_FOUND
Microsoft Visual Studio Setup Configuration,Microsoft,3.7.2182.35401,Microsoft Visual Studio Setup Configuration,NOT_FOUND
Microsoft Visual Studio Setup WMI Provider,Microsoft,3.7.2182.35401,Microsoft Visual Studio Setup WMI Provider,NOT_FOUND
Mozilla Firefox (x64 en-US),Mozilla,150.0.3,Mozilla Firefox,cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*
Mozilla Maintenance Service,Mozilla,127.0.2,Mozilla Maintenance Service,NOT_FOUND
MSI Development Tools,Microsoft,10.1.19041.685,MSI Development Tools,NOT_FOUND
