asset_id,cve_count
1,0
8,0
13,0
14,0
16,0
24,0
27,0
28,0
29,0
30,32
34,0
35,0
40,0
44,0
52,0
55,0
63,0
65,0
67,0
68,0
69,0
72,0
89,0
91,0
92,0
93,0
94,0
96,0
106,0
107,0
108,0
119,0
127,0
128,0
132,0
134,0
135,0
136,0
137,0
141,0
142,0
144,0
145,0
148,0
152,0
156,0
160,0
162,0
163,0
167,0
168,0
169,0
171,0
172,0
175,0
179,0
180,0
181,0
184,0
186,0
190,0
193,0
194,0
196,0
197,0
201,0
202,0
203,0
208,0
211,0
212,0
213,0
214,0
215,0
217,0
219,0
220,0
221,0
224,0
225,0
229,0
231,3
232,0
236,0
237,6
238,0
239,44
240,0
242,0
243,0
244,0
246,0
248,0
249,0
250,0
252,0
254,0
257,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
283,0
285,0
293,0
297,0
299,0
301,0
302,0
303,0
307,0
308,0
310,0
313,0
314,0
318,0
319,0
320,0
321,0
322,0
325,0
330,0
331,0
332,0
335,0
336,0
338,0
340,0
341,0
344,0
346,0
348,0
349,0
356,0
357,0
360,0
361,0
364,0
367,0
371,0
373,0
376,1
379,0
380,0
381,0
385,0
387,0
389,0
392,0
394,0
395,0
396,0
398,0
399,0
402,410
403,0
405,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
490,4
491,4
492,0
493,1
494,0
495,11
496,1
497,3
498,1
500,11
501,0
502,0
503,5
504,0
505,0
508,0
509,0
511,0
513,0
517,0
523,0
524,0
525,0
526,0
527,0
529,0
531,0
533,0
540,0
541,0
543,0
544,0
547,0
549,0
550,0
551,0
