Asset ID,Asset Name,CVE Count
30,Chemical_plant_xx,32
231,UNTITLED,3
237,10.1.30.4,6
239,10.1.30.6,44
376,10.1.30.1:Card 2 \ Addr 11,1
402,DESKTOP-5NATTOG,410
490,C9300-48P.core.2,4
491,C3560-IOT-table,4
493,C2960-C-LR,1
495,C3560X-24.18,11
496,C3560CX-8-bsmt.17,1
497,C3560-CG-MBR.9,3
498,C3560CX-8XPD-attic.4,1
500,C3560CX-12PD-MBRCl.20,11
503,C3560CX-8PC.mbrc2.21,5
