Asset ID,Asset Name,Item,CVE ID
30,Chemical_plant_xx,1,CVE-2022-1797
30,Chemical_plant_xx,2,CVE-2016-9343
30,Chemical_plant_xx,3,CVE-2020-6998
30,Chemical_plant_xx,4,CVE-2021-22681
30,Chemical_plant_xx,5,CVE-2022-1161
30,Chemical_plant_xx,6,CVE-2022-3157
30,Chemical_plant_xx,7,CVE-2024-21916
30,Chemical_plant_xx,8,CVE-2019-12265
30,Chemical_plant_xx,9,CVE-2019-12255
30,Chemical_plant_xx,10,CVE-2019-12258
30,Chemical_plant_xx,11,CVE-2019-5096
30,Chemical_plant_xx,12,CVE-2019-5097
30,Chemical_plant_xx,13,CVE-2018-17924
30,Chemical_plant_xx,14,CVE-2016-20009
30,Chemical_plant_xx,15,CVE-2019-12257
30,Chemical_plant_xx,16,CVE-2019-12262
30,Chemical_plant_xx,17,CVE-2019-12261
30,Chemical_plant_xx,18,CVE-2019-12264
30,Chemical_plant_xx,19,CVE-2019-12263
30,Chemical_plant_xx,20,CVE-2024-6242
30,Chemical_plant_xx,21,CVE-2012-6436
30,Chemical_plant_xx,22,RA-58964
30,Chemical_plant_xx,23,CVE-2012-6435
30,Chemical_plant_xx,24,CVE-2019-12256
30,Chemical_plant_xx,25,CVE-2023-2262
30,Chemical_plant_xx,26,CVE-2012-6437
30,Chemical_plant_xx,27,CVE-2012-6442
30,Chemical_plant_xx,28,CVE-2016-2279
30,Chemical_plant_xx,29,CVE-2012-6440
30,Chemical_plant_xx,30,CVE-2023-3595
30,Chemical_plant_xx,31,CVE-2012-6439
30,Chemical_plant_xx,32,CVE-2025-7353
231,UNTITLED,1,CVE-2010-5305
231,UNTITLED,2,RA-511407-2
231,UNTITLED,3,RA-66678
237,10.1.30.4,1,CVE-2020-6085
237,10.1.30.4,2,CVE-2020-6083
237,10.1.30.4,3,CVE-2020-6087
237,10.1.30.4,4,CVE-2020-6084
237,10.1.30.4,5,CVE-2020-6088
237,10.1.30.4,6,CVE-2020-6086
239,10.1.30.6,1,CVE-2017-12092
239,10.1.30.6,2,CVE-2017-14471
239,10.1.30.6,3,CVE-2017-14464
239,10.1.30.6,4,CVE-2015-6490
239,10.1.30.6,5,CVE-2012-6440
239,10.1.30.6,6,CVE-2017-14473
239,10.1.30.6,7,CVE-2017-7903
239,10.1.30.6,8,CVE-2017-7901
239,10.1.30.6,9,CVE-2017-14472
239,10.1.30.6,10,CVE-2015-6492
239,10.1.30.6,11,ICSA-15-225-02A
239,10.1.30.6,12,CVE-2021-33012
239,10.1.30.6,13,CVE-2017-7902
239,10.1.30.6,14,CVE-2015-6491
239,10.1.30.6,15,CVE-2016-0868
239,10.1.30.6,16,CVE-2017-14465
239,10.1.30.6,17,CVE-2020-6984
239,10.1.30.6,18,CVE-2017-7899
239,10.1.30.6,19,CVE-2017-14470
239,10.1.30.6,20,CVE-2017-14463
239,10.1.30.6,21,CVE-2017-12088
239,10.1.30.6,22,CVE-2012-6442
239,10.1.30.6,23,CVE-2012-6436
239,10.1.30.6,24,CVE-2017-14468
239,10.1.30.6,25,CVE-2012-6441
239,10.1.30.6,26,CVE-2012-6439
239,10.1.30.6,27,CVE-2017-12093
239,10.1.30.6,28,CVE-2015-6488
239,10.1.30.6,29,CVE-2020-6988
239,10.1.30.6,30,CVE-2017-7898
239,10.1.30.6,31,CVE-2019-10955
239,10.1.30.6,32,CVE-2012-6437
239,10.1.30.6,33,CVE-2020-6990
239,10.1.30.6,34,CVE-2017-14462
239,10.1.30.6,35,CVE-2012-6438
239,10.1.30.6,36,CVE-2017-7924
239,10.1.30.6,37,CVE-2012-6435
239,10.1.30.6,38,CVE-2017-14466
239,10.1.30.6,39,CVE-2015-6486
239,10.1.30.6,40,CVE-2017-14467
239,10.1.30.6,41,RA-65982
239,10.1.30.6,42,CVE-2020-6980
