id,name,ipv4,ipv6,mac,os,model,vendor,firmware
297,fe80::250:56ff:feb8:855b,None,fe80::250:56ff:feb8:855b,00:50:56:B8:85:5B,None,None,VMware,None
299,fe80::250:56ff:feb8:fa80,None,fe80::250:56ff:feb8:fa80,00:50:56:B8:FA:80,None,None,VMware,None
301,fe80::250:56ff:feb8:ec99,None,fe80::250:56ff:feb8:ec99,00:50:56:B8:EC:99,None,None,VMware,None
302,10.1.50.1,10.1.50.1,None,00:20:25:0F:95:CE,None,None,CTI,None
303,DESKTOP-OL4PQ3T,169.254.56.11,fe80::34e2:b968:2888:380b,00:50:56:8D:73:5F,None,None,VMware,None
307,FCS0101,"192.168.1.2, 192.168.1.3, 192.168.129.2, 192.168.129.3",None,"00:00:64:9B:26:88, 00:00:64:9B:26:89, 00:00:64:9B:27:84, 00:00:64:9B:27:85",None,AFV30DN3,Yokogawa,None
308,WIN-67VSTM77Q31,10.1.48.2,None,00:50:56:B9:19:B1,Windows Server 2008 R2,None,VMware,None
310,WIN-U3RP0NUBQVI,None,fe80::f94d:29c8:7ebc:b3fa,00:50:56:B8:A2:85,None,None,VMware,None
313,Site2-Archer-Michal,None,fe80::250:56ff:feb8:1c3f,00:50:56:B8:1C:3F,None,None,VMware,None
314,DESKTOP-OL4PQ3T,None,fe80::b13b:55a9:e89:74f6,00:50:56:8D:FE:3C,None,None,VMware,None
318,HIS0163,None,fe80::7d6a:51e8:2f74:7299,00:50:56:8D:7C:85,None,None,VMware,None
319,HIS0163,None,fe80::c96:cdfe:cf6d:a679,00:00:64:95:C6:B7,None,None,Yokogawa,None
320,HIS0163,None,fe80::68e0:893f:481c:162f,00:00:64:95:C6:B6,None,None,Yokogawa,None
321,SCADA-SERVER,10.1.30.11,None,00:50:56:8D:80:B4,Windows Server 2008 R2,None,VMware,None
322,fe80::250:56ff:fe8d:655a,None,fe80::250:56ff:fe8d:655a,00:50:56:8D:65:5A,None,None,VMware,None
