id,name,ipv4,ipv6,mac,os,model,vendor,firmware
430,HDHomeRun DMS 10733945,192.168.35.81,None,00:18:DD:07:33:94,None,HDHomeRun CONNECT QUATRO-HDHR5-4US,Silicondust,None
431,Roku Premiere - YT005H338348,192.168.35.68,None,88:DE:A9:32:74:E1,None,4620X-4620X,Roku,None
432,192.168.35.6,192.168.35.6,None,52:54:DD:C6:62:AF,None,None,None,None
433,192.168.35.21,192.168.35.21,None,00:0C:C8:04:C7:C9,None,None,Xytronix Research & Design,None
434,192.168.35.2,192.168.35.2,None,70:01:B5:C8:86:C1,None,None,Cisco,None
435,192.168.35.10,192.168.35.10,None,00:3C:10:10:15:80,Windows,None,Cisco,None
436,192.168.35.64,192.168.35.64,None,D0:3F:27:DE:CD:43,None,None,Wyze Labs,None
437,192.168.35.75,192.168.35.75,None,1C:4D:66:A7:99:BD,None,None,Amazon Technologies,None
438,192.168.35.72,192.168.35.72,None,00:81:C4:24:10:34,None,None,Cisco,None
440,192.168.35.62,192.168.35.62,None,20:28:BC:F4:C3:DA,None,None,Visionscape,None
441,HDHOMERUN-DVR,192.168.35.50,None,90:2E:16:C9:BF:A4,Windows 10/Server 2016,None,Lcfc Hefei Electronics Technology,None
442,192.168.35.63,192.168.35.63,None,64:52:99:CE:21:02,None,None,Chamberlain Group,None
443,192.168.35.54,192.168.35.54,None,98:25:4A:FA:2A:D8,None,None,TP-Link,None
444,192.168.35.79,192.168.35.79,None,F0:2F:9E:75:AE:5A,None,None,Amazon Technologies,None
445,192.168.35.65,192.168.35.65,None,7C:F6:66:E6:DD:EC,None,None,Tuya Smart,None
446,192.168.35.67,192.168.35.67,None,DC:8C:37:95:F7:A4,None,None,Cisco,None
447,192.168.35.69,192.168.35.69,None,00:08:00:4B:80:53,None,None,Multitech,None
448,192.168.35.66,192.168.35.66,None,10:2C:B1:7E:42:AA,None,None,Smart Innovation,None
449,192.168.35.73,192.168.35.73,None,6C:8B:D3:FE:8D:6E,None,None,Cisco,None
450,192.168.35.71,192.168.35.71,None,26:FA:46:F0:D6:DA,None,None,None,None
451,192.168.35.59,192.168.35.59,None,9C:05:D6:79:3D:52,None,None,Ubiquiti Networks,None
452,192.168.35.96,192.168.35.96,None,2C:AA:8E:EF:CE:79,None,None,Wyze Labs,None
453,192.168.35.70,192.168.35.70,None,D4:91:0F:18:CE:2D,None,None,Amazon Technologies,None
454,192.168.35.82,192.168.35.82,None,DC:8C:37:63:97:8A,None,None,Cisco,None
455,192.168.35.74,192.168.35.74,None,50:8A:06:64:99:A1,None,None,Tuya Smart,None
456,192.168.35.76,192.168.35.76,None,70:0F:6A:F7:35:F0,None,None,Cisco,None
457,192.168.35.60,192.168.35.60,None,80:7D:3A:2C:BA:09,None,None,Espressif,None
458,192.168.35.112,192.168.35.112,None,2C:AA:8E:EF:D1:CC,None,None,Wyze Labs,None
459,192.168.35.113,192.168.35.113,None,2C:AA:8E:6E:19:C4,None,None,Wyze Labs,None
460,192.168.35.110,192.168.35.110,None,2C:AA:8E:F6:66:2C,None,None,Wyze Labs,None
461,192.168.35.111,192.168.35.111,None,2C:AA:8E:F6:56:36,None,None,Wyze Labs,None
462,Cloud-Gateway-Ultra,"172.16.35.1, 192.168.35.180, 192.168.200.1",None,"6C:63:F8:69:AD:47, 6C:63:F8:69:AD:4B, 6E:63:F8:69:AD:48",None,UDRULT,Ubiquiti Networks,5.0.16
463,M70Q-G3-VBOX,192.168.35.174,None,9C:2D:CD:6A:A6:3C,Windows 10/Server 2016,None,Lcfc Hefei Electronics Technology,None
464,192.168.35.247,192.168.35.247,None,10:2C:B1:9C:8D:B5,None,None,Smart Innovation,None
465,192.168.35.248,192.168.35.248,None,24:2A:04:23:B9:B9,None,None,Cisco,None
466,192.168.35.253,192.168.35.253,None,A2:6F:9D:7D:7B:14,None,None,None,None
490,C9300-48P.core.2,"10.1.1.2, 10.10.1.1, 10.206.1.1, 172.16.1.1, 172.16.31.1, 192.168.0.1, 192.168.1.2, 192.168.1.15, 192.168.18.1, 192.168.35.1, 192.168.40.2, 192.168.66.1, 192.168.69.10",None,"2C:AB:EB:4F:6C:C6, 2C:AB:EB:4F:6C:C7, 2C:AB:EB:4F:6C:CD, 2C:AB:EB:4F:6C:CE, 2C:AB:EB:4F:6C:D5, 2C:AB:EB:4F:6C:D9, 2C:AB:EB:4F:6C:E4, 2C:AB:EB:4F:6C:E9, 2C:AB:EB:4F:6C:F6, 2C:AB:EB:4F:6C:F9, 2C:AB:EB:4F:6C:FA, 2C:AB:EB:4F:6C:FC",None,C9300-48P,Cisco,17.9.2(fc2)
491,C3560-IOT-table,10.50.0.1,None,None,None,WS-C3560-12PC-S,Cisco,12.2(46)SE(fc2)
492,IXM-TPCP-1,10.206.1.224,None,None,None,None,None,None
493,C2960-C-LR,192.168.1.10,None,None,None,WS-C2960C-8PC-L,Cisco,15.2(7)E7(fc10)
494,AP1242,192.168.1.8,None,None,None,AIR-AP1242AG-A-K9,Cisco,12.4(21a)JY(fc1)
495,C3560X-24.18,192.168.1.18,None,None,None,WS-C3560X-24P,Cisco,15.2(4)E10(fc2)
496,C3560CX-8-bsmt.17,192.168.1.17,None,None,None,WS-C3560CX-8PC-S,Cisco,15.2(7)E7(fc10)
497,C3560-CG-MBR.9,192.168.1.9,None,None,None,WS-C3560CG-8PC-S,Cisco,15.2(2)E10(fc2)
