CVE ID,Confirmed Asset Count
CVE-2010-5305,1
CVE-2012-6435,2
CVE-2012-6436,2
CVE-2012-6437,2
CVE-2012-6438,1
CVE-2012-6439,2
CVE-2012-6440,2
CVE-2012-6441,1
CVE-2012-6442,2
CVE-2015-6486,1
CVE-2015-6488,1
CVE-2015-6490,1
CVE-2015-6491,1
CVE-2015-6492,1
CVE-2016-0868,1
CVE-2016-20009,1
CVE-2016-2279,1
CVE-2016-9343,1
CVE-2017-12088,1
CVE-2017-12089,1
CVE-2017-12092,1
CVE-2017-12093,1
CVE-2017-14462,1
CVE-2017-14463,1
CVE-2017-14464,1
CVE-2017-14465,1
CVE-2017-14466,1
CVE-2017-14467,1
CVE-2017-14468,1
CVE-2017-14470,1
CVE-2017-14471,1
CVE-2017-14472,1
CVE-2017-14473,1
CVE-2017-3881,2
CVE-2017-6736,3
CVE-2017-6737,2
CVE-2017-6738,2
CVE-2017-6743,2
CVE-2017-6744,2
CVE-2017-7898,1
CVE-2017-7899,1
CVE-2017-7901,1
CVE-2017-7902,1
CVE-2017-7903,1
CVE-2017-7924,1
CVE-2018-0171,1
CVE-2018-17924,1
CVE-2019-10955,1
CVE-2019-12255,2
CVE-2019-12256,1
CVE-2019-12257,1
CVE-2019-12258,1
CVE-2019-12261,1
CVE-2019-12262,1
CVE-2019-12263,1
CVE-2019-12264,1
CVE-2019-12265,1
CVE-2019-1746,1
CVE-2019-5096,1
CVE-2019-5097,1
CVE-2020-6083,1
CVE-2020-6084,1
CVE-2020-6085,1
CVE-2020-6086,1
CVE-2020-6087,1
CVE-2020-6088,1
CVE-2020-6980,1
CVE-2020-6984,1
CVE-2020-6988,1
CVE-2020-6990,1
CVE-2020-6998,1
CVE-2021-22681,2
CVE-2021-33012,1
CVE-2022-1161,1
CVE-2022-1797,1
CVE-2022-3157,1
CVE-2023-20132,1
CVE-2023-20134,1
CVE-2023-2262,1
CVE-2023-3595,1
CVE-2024-21916,1
CVE-2024-27198,1
CVE-2024-6242,1
CVE-2025-20160,3
CVE-2025-20225,4
CVE-2025-20236,1
CVE-2025-20239,4
CVE-2025-20253,4
CVE-2025-20311,1
CVE-2025-20352,9
CVE-2025-20363,1
CVE-2025-30023,1
CVE-2025-30024,1
CVE-2025-30025,1
CVE-2025-7353,1
CVE-2026-10000,1
CVE-2026-10001,1
CVE-2026-10002,1
CVE-2026-10003,1
CVE-2026-10005,1
CVE-2026-10006,1
CVE-2026-10007,1
CVE-2026-10009,1
CVE-2026-10012,1
CVE-2026-10013,1
CVE-2026-10015,1
CVE-2026-10016,1
CVE-2026-10017,1
CVE-2026-10019,1
CVE-2026-10020,1
CVE-2026-10021,1
CVE-2026-10022,1
CVE-2026-10881,1
CVE-2026-10882,1
CVE-2026-10883,1
CVE-2026-10884,1
CVE-2026-10885,1
CVE-2026-10886,1
CVE-2026-10887,1
CVE-2026-10888,1
CVE-2026-10889,1
CVE-2026-10890,1
CVE-2026-10891,1
CVE-2026-10892,1
CVE-2026-10893,1
CVE-2026-10894,1
CVE-2026-10895,1
CVE-2026-10896,1
CVE-2026-10897,1
CVE-2026-10898,1
CVE-2026-10899,1
CVE-2026-10900,1
CVE-2026-10901,1
CVE-2026-10902,1
CVE-2026-10903,1
CVE-2026-10904,1
CVE-2026-10905,1
CVE-2026-10906,1
CVE-2026-10907,1
CVE-2026-10908,1
CVE-2026-10909,1
CVE-2026-10910,1
CVE-2026-10911,1
CVE-2026-10913,1
CVE-2026-10914,1
CVE-2026-10915,1
CVE-2026-10917,1
CVE-2026-10918,1
CVE-2026-10919,1
CVE-2026-10920,1
CVE-2026-10921,1
CVE-2026-10922,1
CVE-2026-10923,1
CVE-2026-10924,1
CVE-2026-10925,1
CVE-2026-10926,1
CVE-2026-10927,1
