CVE ID,Item,Asset Name,Asset ID,Class Type,Ipv4,Ipv6,Mac,Vendor,Os,Model,Firmware,Serial Number,Num Alerts,Insight Names
CVE-2025-20253,4,C3560X-24.18,495,IT,192.168.1.18,,,Cisco,,WS-C3560X-24P,15.2(4)E10(fc2),,,
CVE-2025-20311,1,C9300-48P.core.2,490,IT,"10.1.1.2, 10.10.1.1, 10.206.1.1, 172.16.1.1, 172.16.31.1, 192.168.0.1, 192.168.1.2, 192.168.1.15, 192.168.18.1, 192.168.35.1, 192.168.40.2, 192.168.66.1, 192.168.69.10",,"2C:AB:EB:4F:6C:C6, 2C:AB:EB:4F:6C:C7, 2C:AB:EB:4F:6C:CD, 2C:AB:EB:4F:6C:CE, 2C:AB:EB:4F:6C:D5, 2C:AB:EB:4F:6C:D9, 2C:AB:EB:4F:6C:E4, 2C:AB:EB:4F:6C:E9, 2C:AB:EB:4F:6C:F6, 2C:AB:EB:4F:6C:F9, 2C:AB:EB:4F:6C:FA, 2C:AB:EB:4F:6C:FC",Cisco,,C9300-48P,17.9.2(fc2),,,
CVE-2025-20352,1,C3560CX-8PC.mbrc2.21,503,IT,192.168.1.21,,,Cisco,,WS-C3560CX-8PC-S,15.2(7)E(fc3),,,
CVE-2025-20352,2,C9300-48P.core.2,490,IT,"10.1.1.2, 10.10.1.1, 10.206.1.1, 172.16.1.1, 172.16.31.1, 192.168.0.1, 192.168.1.2, 192.168.1.15, 192.168.18.1, 192.168.35.1, 192.168.40.2, 192.168.66.1, 192.168.69.10",,"2C:AB:EB:4F:6C:C6, 2C:AB:EB:4F:6C:C7, 2C:AB:EB:4F:6C:CD, 2C:AB:EB:4F:6C:CE, 2C:AB:EB:4F:6C:D5, 2C:AB:EB:4F:6C:D9, 2C:AB:EB:4F:6C:E4, 2C:AB:EB:4F:6C:E9, 2C:AB:EB:4F:6C:F6, 2C:AB:EB:4F:6C:F9, 2C:AB:EB:4F:6C:FA, 2C:AB:EB:4F:6C:FC",Cisco,,C9300-48P,17.9.2(fc2),,,
CVE-2025-20352,3,C3560CX-8XPD-attic.4,498,IT,192.168.1.4,,,Cisco,,WS-C3560CX-8XPD-S,15.2(7)E7(fc10),,,
CVE-2025-20352,4,C3560X-24.18,495,IT,192.168.1.18,,,Cisco,,WS-C3560X-24P,15.2(4)E10(fc2),,,
CVE-2025-20352,5,C3560CX-8-bsmt.17,496,IT,192.168.1.17,,,Cisco,,WS-C3560CX-8PC-S,15.2(7)E7(fc10),,,
CVE-2025-20352,6,C3560CX-12PD-MBRCl.20,500,IT,"192.168.1.20, 192.168.35.87",,"70:6E:6D:ED:B5:40, 70:6E:6D:ED:B5:41",Cisco,,WS-C3560CX-12PD-S,15.2(4)E3(fc2),,,
CVE-2025-20352,7,C2960-C-LR,493,IT,192.168.1.10,,,Cisco,,WS-C2960C-8PC-L,15.2(7)E7(fc10),,,
CVE-2025-20352,8,C3560-CG-MBR.9,497,IT,192.168.1.9,,,Cisco,,WS-C3560CG-8PC-S,15.2(2)E10(fc2),,,
CVE-2025-20352,9,C3560-IOT-table,491,IT,10.50.0.1,,,Cisco,,WS-C3560-12PC-S,12.2(46)SE(fc2),,,
CVE-2025-20363,1,C3560-IOT-table,491,IT,10.50.0.1,,,Cisco,,WS-C3560-12PC-S,12.2(46)SE(fc2),,,
